Afrika	Africa
Japani	Giappone
Amerika Kujalleq	America Meridionale
Norge	Norvegia
Irlandi	Irlanda
Ungarni	Ungheria
Spania	Spagna
Naalagaaffeqatigiit	Stati Uniti d'America
Belgia	Belgio
Luxembourg (nunaat)	Lussemburgo
Nunarsuaq	Terra
Finlandi	Finlandia
Svenskit Nunaat	Svezia
Danmarki	Danimarca
Poleni	Polonia
Litaueni	Lituania
Italia	Italia
Schweizi	Svizzera
Østrigi	Austria
Grækerit Nunaat	Grecia
Tyrkia	Turchia
Portugal	Portogallo
Europa	Europa
Asia	Asia
Amerika Avannarleq	America del Nord
Qalasersuaq Kujalleq	Antartide
Wikipedia	Wikipedia
Hollandi	Paesi Bassi
Berlin	Berlino
Barack Obama	Barack Obama
Uruguay	Uruguay
London	Londra
Cairo	Il Cairo
Alexandria	Alessandria d'Egitto
Paris	Parigi
Mexico	Messico
Ataasinngorneq	Lunedì
Jannuaari	Gennaio
Februaari	Febbraio
Martsi	Marzo
Kenya	Kenya
Apriili	Aprile
Maaji	Maggio
Juuni	Giugno
Juuli	Luglio
Aggusti	Agosto
Septemberi	Settembre
Oktoberi	Ottobre
Novemberi	Novembre
Decemberi	Dicembre
Marlunngorneq	Martedì
Pingasunngorneq	Mercoledì
Sisamanngorneq	Giovedì
Tallimanngorneq	Venerdì
Arfininngorneq	Sabato
Sapaat	Domenica
Franskit Nunaat	Francia
Esperanto	Lingua esperanto
Tuluit Nunaat	Regno Unito
Kina	Cina
Franskisut	Lingua francese
Brazil	Brasile
Ruslandi	Russia
Toronto	Toronto
São Paulo	San Paolo (Brasile)
Québec	Québec (provincia)
Wikimedia	Wikimedia Foundation
Tyskit Nunaat	Germania
Hvideruslandi	Bielorussia
Tyskisut	Lingua tedesca
Islandi	Islanda
Estlandi	Estonia
Letlandi	Lettonia
Ukraine	Ucraina
Tjekkia	Repubblica Ceca
Slovakia	Slovacchia
Slovenia	Slovenia
Vilnius	Vilnius
Moldova	Moldavia
Rumænia	Romania
Bulgaria	Bulgaria
Roma	Roma
Makedonia	Repubblica di Macedonia
Albania	Albania
Kalaallit Nunaat	Groenlandia
Kroatia	Croazia
Bosnia-Hercegovina	Bosnia ed Erzegovina
Nuuk	Nuuk
Aserbajdsjan	Azerbaigian
Andorra	Andorra
Cyperni	Cipro
Georgia	Georgia
Kasakhstani	Kazakistan
Malta	Malta
Monaco	Principato di Monaco
Montenegro	Montenegro
Vatikani	Città del Vaticano
San Marino	San Marino
Bruxelles	Bruxelles
Indonesia	Indonesia
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Tyrkiskisut	Lingua turca
Poznań	Poznań
Warszawa	Varsavia
Eurovision Song Contest	Eurovision Song Contest
Islandimiusut	Lingua islandese
Claude Monet	Claude Monet
Diego Velázquez	Diego Velázquez
Chile	Cile
El Greco	El Greco
Jiisusi-Kristus	Gesù
Oqaluttuarisaaneq	Storia
Oqaatsit	Linguaggio
Galaxy	Galassia
Ulloriarsiorneq	Astronomia
Singapore	Singapore
Montréal	Montréal
Liechtensteini	Liechtenstein
Timersorneq	Sport
Szczecin	Stettino
Matematikki	Matematica
Latiinerisut	Lingua latina
Bahrain	Bahrein
Serbia	Serbia
Qaammat	Luna
Istanbul	Istanbul
Australia	Australia
Uumaatsulerineq	Fisica
Argentina	Argentina
Peru	Perù
Uumassusililerineq	Biologia
Korea Avannarleq	Corea del Nord
Islam	Islam
Lech Wałęsa	Lech Wałęsa
Lyon	Lione
EU	Unione europea
Sofia	Sofia
Mount Everest	Everest
Oceania	Oceania
Wikimedia Commons	Wikimedia Commons
Łódź	Łódź
Oslo	Oslo
Katowice	Katowice
Dubai	Dubai
Lionel Messi	Lionel Messi
Nipilersorneq	Musica
Rennes	Rennes
Lille	Lilla
Moskva	Mosca (Russia)
Sankt Petersborg	San Pietroburgo
New Zealand	Nuova Zelanda
India	India
Mongolia	Mongolia
Venezuela	Venezuela
Suriname	Suriname
Paraguay	Paraguay
Guyana	Guyana
Eqqumiitsuliorneq	Arte
Ecuador	Ecuador
Colombia	Colombia
Bolivia	Bolivia
Naasut	Plantæ
Białystok	Białystok
Leonardo da Vinci	Leonardo da Vinci
Iran	Iran
Iraq	Iraq
Israel	Israele
Yemen	Yemen
Polenimiutut	Lingua polacca
Jordan	Giordania
Kuwait	Kuwait
Lebanon	Libano
Amerika	America
Nepal	Nepal
Oman	Oman
Pakistan	Pakistan
Qatar	Qatar
Saudi Arabia	Arabia Saudita
Syria	Siria
Thailandi	Thailandia
United Arab Emirates	Emirati Arabi Uniti
Vietnam	Vietnam
Novosibirsk	Novosibirsk
Korea Kujalleq	Corea del Sud
Jekaterinburg	Ekaterinburg
Afghanistan	Afghanistan
Nizjnij Novgorod	Nižnij Novgorod
Samara	Samara (città)
Kuulti	Oro
Omsk	Omsk
Kazan	Kazan'
Bangladesh	Bangladesh
Tjeljabinsk	Čeljabinsk
Rostov ved Don	Rostov sul Don
Ufa	Ufa (Russia)
Volgograd	Volgograd
Perm	Perm'
Tanzania	Tanzania
Philippines	Filippine
Isaac Newton	Isaac Newton
Beijing	Pechino
New Delhi	Nuova Delhi
Tbilisi	Tbilisi
Libya	Libia
Madagascar	Madagascar
Uganda	Uganda
FN	Organizzazione delle Nazioni Unite
Nunarsualerineq	Geologia
Ahmedabad	Ahmedabad
Nunalerineq	Geografia
Praha	Praga
Mumbai	Mumbai
Jerusalem	Gerusalemme
Kosovo	Kosovo
Grenoble	Grenoble
Chicago	Chicago
Spanskisut	Lingua spagnola
Montevideo	Montevideo
Kolkata	Calcutta
Chennai	Chennai
Delhi	Delhi
Dhaka	Dacca
Bangalore	Bangalore
Hyderabad (India)	Hyderabad
Islamabad	Islamabad
Uetersen	Uetersen
Finlandimiutut	Lingua finlandese
Le Mans	Le Mans
Bordeaux	Bordeaux
Buenos Aires	Buenos Aires
Mexico City	Città del Messico
Tokyo	Tokyo
La Paz (Bolivia)	La Paz
Patagonien	Patagonia
Abu Dhabi	Abu Dhabi
Baghdad	Baghdad
Caracas	Caracas
Pune	Pune
Hindimiutut	Lingua hindi
Urdumiutut	Lingua urdu
Wien	Vienna
København	Copenaghen
Stockholm	Stoccolma
Helsinki	Helsinki
Murmansk	Murmansk
Reykjavík	Reykjavík
Tallinn	Tallinn
Riga	Riga
Zanzibar	Zanzibar
Gdańsk	Danzica
Wrocław	Breslavia
Kaarasjoki	Karasjok
Luxembourg (illoqarfik)	Lussemburgo (città)
Biibili	Bibbia
Ho Chi Minh Illoqarfik	Ho Chi Minh (città)
Hanoi	Hanoi
Jesusip Ilumiortup Ilagiissai	Vera Chiesa di Gesù
Tuluttut	Lingua inglese
Bangkok	Bangkok
Andorra la Vella	Andorra la Vella
Odessa	Odessa
Đồng Hới	Dong Hoi
Concepcion, Chile	Concepción (Cile)
Kyiv	Kiev
Ontario	Ontario
Ottawa	Ottawa
Manitoba	Manitoba
Alberta	Alberta
Nova Scotia	Nuova Scozia
Dar es Salaam	Dar es Salaam
Nouveau-Brunswick	Nuovo Brunswick
Britisk Columbia	Columbia Britannica
Prince Edward Island	Isola del Principe Edoardo
Saskatchewan	Saskatchewan
2012	2012
2011	2011
2010	2010
2009	2009
Newfoundland aamma Labrador	Terranova e Labrador
Northwest Territories	Territori del Nord-Ovest
Yukon	Yukon
Nunavut	Nunavut
Iqaluit	Iqaluit
Whitehorse (Canada)	Whitehorse
Yellowknife	Yellowknife
St. John's (Newfoundland aamma Labrador)	Saint John's (Canada)
Edmonton (Canada)	Edmonton
Regina (Canada)	Regina (Canada)
Charlottetown (Canada)	Charlottetown
Victoria (Canada)	Victoria (Canada)
Winnipeg	Winnipeg
Fredericton	Fredericton
Halifax (Canada)	Halifax (Canada)
Québec (illoqarfik)	Québec (città)
Jannuaari 1	1º gennaio
Jannuaari 2	2 gennaio
Jannuaari 3	3 gennaio
Lund	Lund (Svezia)
Jannuaari 4	4 gennaio
Jannuaari 5	5 gennaio
Arica	Arica
Malmö	Malmö
Jannuaari 6	6 gennaio
Jannuaari 7	7 gennaio
Jannuaari 8	8 gennaio
Jannuaari 9	9 gennaio
Jannuaari 10	10 gennaio
Jannuaari 11	11 gennaio
Jannuaari 12	12 gennaio
Jannuaari 13	13 gennaio
Jannuaari 14	14 gennaio
Jannuaari 15	15 gennaio
Jannuaari 16	16 gennaio
Jannuaari 17	17 gennaio
Jannuaari 18	18 gennaio
Jannuaari 19	19 gennaio
Jannuaari 20	20 gennaio
Skien	Skien
Jannuaari 21	21 gennaio
Jannuaari 22	22 gennaio
Jannuaari 23	23 gennaio
Jannuaari 24	24 gennaio
Jannuaari 25	25 gennaio
Jannuaari 26	26 gennaio
Jannuaari 27	27 gennaio
Jannuaari 28	28 gennaio
Jannuaari 29	29 gennaio
Jannuaari 30	30 gennaio
Jannuaari 31	31 gennaio
Porsgrunn	Porsgrunn
Decemberi 2	2 dicembre
Decemberi 1	1º dicembre
Decemberi 3	3 dicembre
Decemberi 7	7 dicembre
Decemberi 5	5 dicembre
