Āfrika	Africa
Japāna	Giappone
Dienvidamerika	America Meridionale
Norvēģija	Norvegia
Anglija	Inghilterra
Skotija	Scozia
Velsa	Galles
Ziemeļīrija	Irlanda del Nord
Īrija	Irlanda
Ungārija	Ungheria
Spānija	Spagna
Amerikas Savienotās Valstis	Stati Uniti d'America
Beļģija	Belgio
Luksemburga	Lussemburgo
Visums	Universo
Zeme	Terra
Dzīvība	Vita
Nāve	Morte
Cilvēks	Homo sapiens
Laime	Felicità
Džordžs Vašingtons	George Washington
Duglass Adamss	Douglas Adams
Tims Bērnerss-Lī	Tim Berners-Lee
Imagine (dziesma)	Imagine (singolo John Lennon)
Stenlijs Kubriks	Stanley Kubrick
Vikidati	Wikidata
Somija	Finlandia
Zviedrija	Svezia
Dānija	Danimarca
Polija	Polonia
Lietuva	Lituania
Itālija	Italia
Šveice	Svizzera
Austrija	Austria
Grieķija	Grecia
Turcija	Turchia
Alus	Birra
Portugāle	Portogallo
Eiropa	Europa
Āzija	Asia
Ziemeļamerika	America del Nord
Antarktīda	Antartide
Vikipēdija	Wikipedia
All your base are belong to us	All your base are belong to us
Nīderlande	Paesi Bassi
Dzimumloceklis	Pene
PHP	PHP
Ņujorka	New York
Vašingtona	Washington
Sanfrancisko	San Francisco
Berlīne	Berlino
Losandželosa	Los Angeles
Boeing	Boeing
Airbus	Airbus
Dators	Computer
Berne	Berna
Ženēva	Ginevra
Cīrihe	Zurigo
IRC	Internet Relay Chat
Internets	Internet
Baraks Obama	Barack Obama
Urugvaja	Uruguay
Bāzele	Basilea
Printeris	Stampante
MediaWiki	MediaWiki
Londona	Londra
Kaira	Il Cairo
Galvassāpes	Cefalea
Aleksandrija	Alessandria d'Egitto
Aleksandrija (Virdžīnija)	Alexandria (Virginia)
Ābols	Mela
Parīze	Parigi
Abrahams Linkolns	Abraham Lincoln
Android	Android
Google	Google Inc.
Meksika	Messico
Atlantijas okeāns	Oceano Atlantico
Klusais okeāns	Oceano Pacifico
Kalifornija	California
Bostona	Boston
Pirmdiena	Lunedì
Telpa	Spazio (fisica)
Janvāris	Gennaio
Februāris	Febbraio
Marts	Marzo
Marss (planēta)	Marte (astronomia)
Marss (mitoloģija)	Marte (divinità)
Kenija	Kenya
Etiopija	Etiopia
Monarhs	Monarca
Gana	Ghana
Aprīlis	Aprile
Maijs	Maggio
Jūnijs	Giugno
Jūlijs	Luglio
Augusts	Agosto
Septembris	Settembre
Oktobris	Ottobre
Novembris	Novembre
Decembris	Dicembre
Otrdiena	Martedì
Trešdiena	Mercoledì
Ceturtdiena	Giovedì
Piektdiena	Venerdì
Sestdiena	Sabato
Svētdiena	Domenica
Laidnis	Alfiere (scacchi)
Bandinieks (šahs)	Pedone (scacchi)
Zirdziņš (šahs)	Cavallo (scacchi)
Tornis (šahs)	Torre (scacchi)
Karalis (šahs)	Re (scacchi)
Dāma (šahs)	Donna (scacchi)
Lauva	Panthera leo
Francija	Francia
Esperanto	Lingua esperanto
Suns	Canis lupus familiaris
Apvienotā Karaliste	Regno Unito
Kaķis	Felis silvestris catus
Ķīna	Cina
Franču valoda	Lingua francese
Vikivārdnīca	Wikizionario
Zivis	Pesce
Etanols	Etanolo
Alkoholiskie dzērieni	Bevanda alcolica
Brazīlija	Brasile
Spirti	Alcoli
Fransuā Olands	François Hollande
Krievija	Russia
Vaļveidīgie	Cetacea
Optiskā šķiedra	Fibra ottica
Jorkšīra	Yorkshire
Kvadrāts	Quadrato
Jūra	Mare
Melnā jūra	Mar Nero
Pī	Pi greco
Pī (burts)	Pi (lettera greca)
Wiki	Wiki
Toronto	Toronto
Alabama	Alabama
Sanpaulu	San Paolo (Brasile)
Sanpaulu (štats)	San Paolo (stato)
Kvebeka	Québec (provincia)
Pica	Pizza
Pasta (ēdiens)	Pasta
Boeing 747	Boeing 747
Wikimedia Foundation	Wikimedia Foundation
Džimijs Veilss	Jimmy Wales
English	English (disambigua)
Vācija	Germania
Baltkrievija	Bielorussia
Lerijs Sendžers	Larry Sanger
Itālijas himna	Il Canto degli Italiani
Vācu valoda	Lingua tedesca
Islande	Islanda
Dievs	Dio
Igaunija	Estonia
Deivids Kemerons	David Cameron
Saturns (planēta)	Saturno (astronomia)
Saturna gredzeni	Anelli di Saturno
Šokolāde	Cioccolato
Lidmašīna	Aeroplano
Karš	Guerra
1 (skaitlis)	1 (numero)
2 (skaitlis)	2 (numero)
3 (skaitlis)	3 (numero)
4 (skaitlis)	4 (numero)
5 (skaitlis)	5 (numero)
Nulle	0 (numero)
Bezgalība	Infinito (matematica)
Stīvens Hārpers	Stephen Harper
Džordžs V. Bušs	George W. Bush
Taisnstūris	Rettangolo
Latvija	Lettonia
Ukraina	Ucraina
Čehija	Repubblica Ceca
Slovākija	Slovacchia
Slovēnija	Slovenia
Viļņa	Vilnius
Moldova	Moldavia
Rumānija	Romania
Bulgārija	Bulgaria
Roma	Roma
Maķedonija	Repubblica di Macedonia
Albānija	Albania
Grenlande	Groenlandia
Horvātija	Croazia
Bosnija un Hercegovina	Bosnia ed Erzegovina
Nūka	Nuuk
Azerbaidžāna	Azerbaigian
Andora	Andorra
Kipra	Cipro
Gruzija	Georgia
Valonija	Vallonia
Kazahstāna	Kazakistan
Malta	Malta
Flandrija	Fiandre
Monako	Principato di Monaco
Melnkalne	Montenegro
Vatikāns	Città del Vaticano
Sanmarīno	San Marino
Brisele	Bruxelles
Briseles galvaspilsētas reģions	Regione di Bruxelles-Capitale
Kuba	Cuba
Beliza	Belize
Eifeļa tornis	Torre Eiffel
Barbadosa	Barbados
Raspberry Pi	Raspberry Pi
Volkswagen	Volkswagen
Volkswagen Golf	Volkswagen Golf
Intel	Intel
Bezvadu sakari	Wireless
Datora klaviatūra	Tastiera (informatica)
Java (programmēšanas valoda)	Java (linguaggio di programmazione)
Indonēzija	Indonesia
Volfgangs Amadejs Mocarts	Wolfgang Amadeus Mozart
Ludvigs van Bēthovens	Ludwig van Beethoven
Turku valoda	Lingua turca
Mandelbrota kopa	Insieme di Mandelbrot
Dienvidāfrika	Sudafrica
Žans Fransuā Šampolions	Jean-François Champollion
Linkin Park	Linkin Park
Alžīrija	Algeria
Wikisource	Wikisource
Viesuļvētra Sendija	Uragano Sandy
Uzbekistāna	Uzbekistan
Rasenes	Drosera
Poznaņa	Poznań
Taškenta	Tashkent
Varšava	Varsavia
Eirovīzijas dziesmu konkurss	Eurovision Song Contest
Modēna	Modena
Viskijs	Whisky
Vīns	Vino
Ūdens	Acqua
Āda (materiāls)	Cuoio
Koksne	Legno
Tūra	Tours
Televīzija	Televisione
Dzimums	Sesso (biologia)
Pornogrāfija	Pornografia
Islandiešu valoda	Lingua islandese
Klods Monē	Claude Monet
Djego Velaskess	Diego Velázquez
Čīle	Cile
El Greko	El Greco
Jēzus Kristus	Gesù
Elviss Preslijs	Elvis Presley
Sebastjans Piņera	Sebastián Piñera
Galileo Galilejs	Galileo Galilei
Merkurs (planēta)	Mercurio (astronomia)
Vēsture	Storia
Perlašēza kapsēta	Cimitero del Père-Lachaise
Apple Inc.	Apple
Venera (planēta)	Venere (astronomia)
Valoda	Linguaggio
Mīlestība	Amore
Diktatūra	Dittatura
Galaktika	Galassia
Jupiters (planēta)	Giove (astronomia)
Mišela Bačeleta	Michelle Bachelet
Piena Ceļš	Via Lattea
Lanvairpulguingila	Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch
Lielais sprādziens	Big Bang
Urāns (planēta)	Urano (astronomia)
Vikipēdija angļu valodā	Wikipedia in inglese
Nikolā Sarkozī	Nicolas Sarkozy
Neptūns (planēta)	Nettuno (astronomia)
Astronomija	Astronomia
Singapūra	Singapore
Zinātne	Scienza
Kosmoloģija	Cosmologia (astronomia)
Plutons (pundurplanēta)	Plutone (astronomia)
Monreāla	Montréal
Brīvā programmatūra	Software libero
Kempēra	Quimper
Jaunava Marija	Maria (madre di Gesù)
Luijs IX	Luigi IX di Francia
Lihtenšteina	Liechtenstein
Sports	Sport
Kembridža	Cambridge
Jeloustonas nacionālais parks	Parco nazionale di Yellowstone
Ādolfs Hitlers	Adolf Hitler
Facebook	Facebook
Google+	Google+
Kultūras piemineklis	Monumento storico
WikiLeaks	WikiLeaks
Džulians Asānžs	Julian Assange
Pirmais pasaules karš	Prima guerra mondiale
Otrais pasaules karš	Seconda guerra mondiale
Ķelne	Colonia (Germania)
Korupcija	Corruzione
Wikibooks	Wikibooks
Augusto Pinočets	Augusto Pinochet
Wikiquote	Wikiquote
Wikiversity	Wikiversità
Wikivoyage	Wikivoyage
Degvīns	Vodka
Pulkstenis	Orologio
Janka Kupala	Janka Kupala
Ubuntu Linux	Ubuntu
Skopje	Skopje
Gdiņa	Gdynia
GNU/Linux	Linux
Bobs Dilans	Bob Dylan
Ščecina	Stettino
Metroloģija	Metrologia
Matemātika	Matematica
U2	U2
Latīņu valoda	Lingua latina
Bahreina	Bahrein
Armēnija	Armenia
Dženna Džeimsone	Jenna Jameson
Ķīļraksts	Scrittura cuneiforme
Higsa bozons	Bosone di Higgs
Serbija	Serbia
Mēness	Luna
Stambula	Istanbul
Austrālija	Australia
Bobs Mārlijs	Bob Marley
Karls Sagans	Carl Sagan
Astrobioloģija	Esobiologia
Fizika	Fisica
Argentīna	Argentina
Telesakari	Telecomunicazione
Peru	Perù
Bioloģija	Biologia
Neidentificēts lidojošs objekts	UFO
Ziemeļkoreja	Corea del Nord
Kambodža	Cambogia
Dzīvnieku tiesības	Diritti degli animali
Koipera josla	Fascia di Kuiper
Korāns	Corano
Dinozauri	Dinosauria
Zooloģija	Zoologia
Islāms	Islam
Bumbieres	Pyrus
Aleksandrijas bibliotēka	Biblioteca di Alessandria
Ļubļana	Lubiana
Salvadors Aljende	Salvador Allende
Botānika	Botanica
Lehs Valensa	Lech Wałęsa
Ritenis	Ruota
Enciklopēdija (Denī Didro)	Encyclopédie
Denī Didro	Denis Diderot
Žoržs Brasēns	Georges Brassens
Prāts	Mente
Miers	Pace
Encyclopædia Britannica	Enciclopedia Britannica
Liona	Lione
Eiropas Savienība	Unione europea
Plovdiva	Plovdiv
Zvaigžņu kari	Guerre stellari
Rona-Alpi	Rodano-Alpi
DBpedia	DBpedia
Vispasaules tīmeklis	World Wide Web
Sieviete	Donna
Sofija	Sofia
Akvedukts	Acquedotto
Dons Kihots	Don Chisciotte della Mancia
Dzeja	Poesia
Datorvīruss	Virus (informatica)
Černobiļas AES katastrofa	Disastro di Černobyl'
Hirosimas un Nagasaki bombardēšana	Bombardamenti atomici di Hiroshima e Nagasaki
Milāna	Milano
Draudzība	Amicizia
Atmiņa	Memoria
Arturs Rembo	Arthur Rimbaud
Turīna	Torino
Izkārnījumi	Feci
Anālā atvere	Ano
Citrons	Citrus × limon
Šarls Bodlērs	Charles Baudelaire
Stendāls	Stendhal
Banāni	Banana
Emīls Zolā	Émile Zola
Zieds	Fiore
Gugols	Googol
Gugolplekss	Googolplex
Marianas dziļvaga	Fossa delle Marianne
Vladimirs Visockis	Vladimir Semënovič Vysockij
Everests	Everest
Anatomija	Anatomia
Pilsēta	Città
Napoleons Bonaparts	Napoleone Bonaparte
Olimpa kalns (Marss)	Olympus Mons
Fizioloģija	Fisiologia
Zvaigzne	Stella
Vezuvs	Vesuvio
Saule	Sole
Debesis	Cielo
Luijs Pastērs	Louis Pasteur
Ingemars Stēnmarks	Ingemar Stenmark
Gaismas gads	Anno luce
Ciems	Villaggio
Viktors Igo	Victor Hugo
Okeānija	Oceania
Džuzepe Garibaldi	Giuseppe Garibaldi
Vieglatlētika	Atletica leggera
Cenzūra	Censura
Saules sistēma	Sistema solare
Baltijas jūra	Mar Baltico
Trieste	Trieste
Visla	Vistola
Elizejas lauki	Avenue des Champs-Élysées
Odera	Oder
Zobi	Dente
Ūdeņradis	Idrogeno
Petija Smita	Patti Smith
Hēlijs	Elio
Elle	Inferno
Vikikrātuve	Wikimedia Commons
Šķīstītava	Purgatorio
Angela Merkele	Angela Merkel
Litijs	Litio
Berilijs	Berillio
Skaļrunis	Altoparlante
Grāmata	Libro
Diennakts	Giorno
Austrumtimora	Timor Est
Nakts	Notte
Gads	Anno
Gadsimts	Secolo
Lodza	Łódź
Monblāns	Monte Bianco
Reina	Reno
Oslo	Oslo
Bonna	Bonn
Visu svēto diena	Ognissanti
Katovice	Katowice
Melnais caurums	Buco nero
Luišs di Kamoinšs	Luís de Camões
Gejs	Gay
Cerera	Cerere (astronomia)
Lisabona	Lisbona
Žešova	Rzeszów
Ihiro Suzuki	Ichiro Suzuki
Haumeja	Haumea (astronomia)
Rona	Rodano (fiume)
Makemake	Makemake (astronomia)
Maikls Blumbergs	Michael Bloomberg
Erīda (pundurplanēta)	Eris (astronomia)
Dubaija	Dubai
Lionels Mesi	Lionel Messi
Paduja	Padova
Bors	Boro
Nikolajs Koperniks	Niccolò Copernico
Versaļa	Versailles
Ogleklis	Carbonio
Alesandro Del Pjēro	Alessandro Del Piero
Volga	Volga
Slāpeklis	Azoto
Bergamo	Bergamo
Skābeklis	Ossigeno
Milānas @@@u0026Internazionale"	Football Club Internazionale Milano
Nīls Jangs	Neil Young
Planēta	Pianeta
Kleopatra	Cleopatra VII
Keita Buša	Kate Bush
Mūzika	Musica
Venēcija	Venezia
Naruto	Naruto
Po (upe)	Po
Šarm eš Šeiha	Sharm el-Sheikh
Ņeva	Neva
Termometrs	Termometro
Renna	Rennes
Lille	Lilla
Maskava	Mosca (Russia)
Fluors	Fluoro
Itāļu valoda	Lingua italiana
Čivava (suņu šķirne)	Chihuahua (razza canina)
