Afraga	Africa
Loidhne	Retta
331	331
365	365
Niùclas	Nucleo atomico
379	379
Milkshake	Frappè
Innd-Eòrpais	Lingua protoindoeuropea
Robert Koch	Robert Koch
Lèamur	Lemuriformes
Neach-teagaisg	Docente
Pàpa Iain Pòl I	Papa Giovanni Paolo I
An Spiorad Naomh	Spirito Santo
Cleveland, Ohio	Cleveland
Samuel Beckett	Samuel Beckett
Lublin	Lublino
John Michael Talbot	John Michael Talbot
Naypyidaw	Naypyidaw
Glùn	Ginocchio
Abragod	Prunus armeniaca
Pierre Curie	Pierre Curie
Poileagan	Poligono
Jean Calvin	Giovanni Calvino
Leòmhann-làir	Chamaeleonidae
Bloemfontein	Bloemfontein
Baile nam Feusgan	Musselburgh (Scozia)
Arm	Esercito
Coimheatailt	Lega (metallurgia)
T. S. Eliot	Thomas Stearns Eliot
Charlotte's Web	La meravigliosa, stupenda storia di Carlotta e del porcellino Wilbur
Port Vila	Port Vila
Auckland Grammar School	Auckland Grammar School
Milwaukee, Wisconsin	Milwaukee
Caol	Stretto
Duais Nobel ann an Litreachas	Premio Nobel per la letteratura
Mendel, Gregor	Gregor Mendel
Carinthia (stàit)	Carinzia
St. Louis, Missouri	Saint Louis (Missouri)
Connrag	Consonante
Herta Müller	Herta Müller
Samurai	Samurai
George Lucas	George Lucas
Eithne	Enya
1840an	Anni 1840
Còmhlan (bith-eòlas)	Phylum
Rìgh Eanraig VIII Shasainn	Enrico VIII d'Inghilterra
William Faulkner	William Faulkner
Romano Prodi	Romano Prodi
Xena: Warrior Princess	Xena - Principessa guerriera
Turku	Turku
Devanāgarī	Alfabeto devanagari
1880an	Anni 1880
Còcaireachd	Cottura
Blàr Stalingrad	Battaglia di Stalingrado
Suva	Suva
Nuku'alofa	Nukuʻalofa
Meatailt throm	Heavy metal
A' Phruis	Prussia
1890an	Anni 1890
Vorarlberg	Vorarlberg
Abhag	Terrier
Ceusair	Imperatore
Cheyenne, Wyoming	Cheyenne (Wyoming)
Port of Spain	Port of Spain
Bohemia	Boemia
Peata	Animale da compagnia
John Steinbeck	John Steinbeck
Luch	Mus (genere)
Ronaldinho	Ronaldinho
Anchorage, Alasca	Anchorage
1830an	Anni 1830
Tractar-àiteachais	Trattore agricolo
Gamal Abdel Nasser	Gamal Abd el-Nasser
Acfhainn	Attrezzo
Peatrail	Benzina
Burbank, Calafòrnia	Burbank (Contea di Los Angeles)
1800an	Anni 1800
Linne	Baia
Antoine Lavoisier	Antoine-Laurent de Lavoisier
Cladh (creideamh)	Cimitero
Fast	Rangifer tarandus
Nicolas Appert	Nicolas Appert
Des Moines, Iowa	Des Moines
Taigh-solais	Faro
The Rescuers	Le avventure di Bianca e Bernie
Raon Ghàsa	Striscia di Gaza
Pràis	Ottone (lega)
Sangiano	Sangiano
Mario Vargas Llosa	Mario Vargas Llosa
Gleann	Valle
1860an	Anni 1860
1870an	Anni 1870
Briogais	Pantaloni
Deichead	Decennio
Almon	Prunus dulcis
Sylvester Stallone	Sylvester Stallone
Prògram (coimpiutair)	Programma (informatica)
Abhainn Iòrdan	Giordano (fiume)
Clach-chreadha	Mattone
Will Smith	Will Smith
Beus-fhìdheall	Viola da gamba
Hobart	Hobart
1810an	Anni 1810
William Butler Yeats	William Butler Yeats
Canale d'Agordo	Canale d'Agordo
Ìomaigh rìomhach	Icona gay
Carl Benz	Karl Benz
European Cup Winners Cup	Coppa delle Coppe UEFA
Iomadachadh	Moltiplicazione
Gini-Nuadh	Nuova Guinea
The Fox and the Hound	Red e Toby nemiciamici
Racine, Wisconsin	Racine (Wisconsin)
Joliet, Illinois	Joliet (Illinois)
Norman, Oklahoma	Norman (Oklahoma)
Prìosan	Prigione
Caolas Chanso	Stretto di Canso
Desio	Desio
Buffalo, Eabhraig Nuadh	Buffalo
Na Slàbhaich	Slavi
John Wayne	John Wayne
Sumo	Sumo
Lisa Gerrard	Lisa Gerrard
Somma Lombardo	Somma Lombardo
Co-bhualadair Mòr Hadron	Large Hadron Collider
Tacloban	Tacloban
Ray Bradbury	Ray Bradbury
Eòin Baistidh	Giovanni Battista
Paulínia	Paulínia
'100 Leabhar an Linn' le Le Monde	I 100 libri del secolo di le Monde
Toirt air falbh	Sottrazione
Partan	Brachyura
God Save the Queen	God Save the Queen
Knut Hamsun	Knut Hamsun
Tampere	Tampere
Crois	Croce
Breda	Breda (Paesi Bassi)
Tenerife	Tenerife
Neul Oort	Nube di Oort
Doris Lessing	Doris Lessing
Buinneach	Diarrea
Dumbo	Dumbo - L'elefante volante
Frank Sinatra	Frank Sinatra
Honiara	Honiara
Mùn	Urina
1850an	Anni 1850
Rèabhlaid Ameireaganach	Guerra di indipendenza americana
Ùrnaigh	Preghiera
Skype	Skype
Each-mara (mamal)	Odobenus rosmarus
Harold Pinter	Harold Pinter
Bathais	Fronte (anatomia)
Topeka, Kansas	Topeka
Sailm	Salmi
Heraclitus a Ephesus	Eraclito
Al Pacino	Al Pacino
Demi Lovato	Demi Lovato
Eibhir	Granito
Iolair-bhuidhe	Aquila chrysaetos
Bonn (airgead)	Moneta
San Juan, Puerto Rico	San Juan (Porto Rico)
Boris Pasternak	Boris Pasternak
Opera	Opera (browser)
Bydgoszcz	Bydgoszcz
Johannes Vermeer	Jan Vermeer
John Dalton	John Dalton
Basseterre	Basseterre
Poblachd Weimar	Repubblica di Weimar
Ball-coise Aimearaganach	Football americano
Steiermark	Stiria
José Luis Rodríguez Zapatero	José Luis Rodríguez Zapatero
Teletubbies	Teletubbies
Brot	Minestra
Kingstown	Kingstown
Neasgaid-fala	Emorroidi
Wole Soyinka	Wole Soyinka
Lebhiticus	Levitico
Freumh	Radice (botanica)
Henryk Sienkiewicz	Henryk Sienkiewicz
William Blake	William Blake
St. George’s	Saint George's
Buaidh an taigh-ghloine	Effetto serra
Julia Gillard	Julia Gillard
Còcein	Cocaina
Dlighe Ohm	Legge di Ohm
Coireaman	Coriandrum sativum
Haifa	Haifa
Eilean Stiùbhairt	Isola Stewart
Castries	Castries
Bruich	Ebollizione
Brachadh	Fermentazione
Rosg-rann	Frase
Làithean na seachdain	Nomi dei giorni della settimana in diverse lingue
Haracleas	Eraclio I
Paul Newman	Paul Newman
Sri Jayawardenapura	Sri Jayawardenapura Kotte
An Ostair Uachdar	Alta Austria
Democritus	Democrito
Tahiti	Tahiti
Am Bàs Dubh	Peste nera
Anwar El Sadat	Anwar al-Sadat
J. M. G. Le Clézio	Jean-Marie Gustave Le Clézio
Clach theinnteach	Roccia magmatica
Gobi	Deserto del Gobi
Tomas Tranströmer	Tomas Tranströmer
Henri Bergson	Henri Bergson
Abel Tasman	Abel Tasman
Hainan	Hainan
Fàilte Mhoire	Ave Maria
Obair	Lavoro (fisica)
Mel Gibson	Mel Gibson
Sully Prudhomme	Sully Prudhomme
Mirante do Vale	Mirante do Vale
Eileanan a' Chaolais	Isole del Canale
Savannah	Savana
Pàpa Pius XI	Papa Pio XI
Neul (reul-eòlas)	Nebulosa
Mihail Šolohov	Michail Aleksandrovič Šolochov
Sasannaich	Inglesi
Evo Morales	Evo Morales
Anatole France	Anatole France
Anaximander	Anassimandro
Eabhraig	York
Asterix An Ceilteach	Asterix
An Ostair Ìochdarach	Bassa Austria
Eaglais Ìosa Chrìost de Naoimh an Latha mu Dheireadh	Chiesa di Gesù Cristo dei santi degli ultimi giorni
Spìosradh	Spezia (alimento)
Wisława Szymborska	Wisława Szymborska
Curcuma	Curcuma longa
Uilinn	Gomito
Frédéric Mistral	Frédéric Mistral
Sagart	Sacerdote
Deuteronomi	Deuteronomio
Cat Manainneach	Gatto dell'Isola di Man
Heinrich Böll	Heinrich Böll
Palikir	Palikir
Johnny Cash	Johnny Cash
Audrey Hepburn	Audrey Hepburn
Leif Ericson	Leif Erikson
Port Adhair Long Thanh	Aeroporto Internazionale di Long Thanh
Tirol	Tirolo (Austria)
Dustin Hoffman	Dustin Hoffman
Balla	Muro (edilizia)
Ailtire	Architetto
1600an	Anni 1600
Bambi	Bambi
Peabar	Piper nigrum
Àireamh (Bìoball)	Numeri (Bibbia)
Barail-fhuasgladh	Referendum
Naomh	Santo
Sofia Rotaru	Sofija Rotaru
Crotal	Lichene
Cincinnati, Ohio	Cincinnati
Omaha, Nebraska	Omaha
Dà-ghnèitheachd	Bisessualità
Clint Eastwood	Clint Eastwood
Burgenland	Burgenland
Ingrid Bergman	Ingrid Bergman
Fàire	Orizzonte
Morabhia	Moravia
Pieter Brueghel Mòr	Pieter Bruegel il Vecchio
Prionnsa Teàrlach, Prionnsa na Cuimrigh	Carlo, principe di Galles
Talmud	Talmud
J. M. Coetzee	John Maxwell Coetzee
Fresno, Calafòrnia	Fresno (California)
Cumhachd na Gaoithe	Energia eolica
Salzburg (stàit)	Salisburghese
Basalt	Basalto
1700an	Anni 1700
Cogadh na Mìle Làithean	Guerra dei mille giorni
Raibeart Ò Baoghail	Robert Boyle
Richmond, Virginia	Richmond (Virginia)
Giosuè Carducci	Giosuè Carducci
Gustave Flaubert	Gustave Flaubert
Boireannach	Femmina (biologia)
Gàirdean	Braccio
Desiderius Erasmus	Erasmo da Rotterdam
Guayaquil	Guayaquil
Gerhart Johann Robert Hauptmann	Gerhart Hauptmann
Cotonou	Cotonou
Drannd-eun	Trochilidae
Leiden	Leida
Louisville, Kentucky	Louisville
Montehermoso	Montehermoso
Pàpa Pius IX	Papa Pio IX
Pàpa Leo XII	Papa Leone XII
Pàpa Griogair XVI	Papa Gregorio XVI
Yasunari Kawabata	Yasunari Kawabata
Pàpa Pius X	Papa Pio X
Àilean	Oasi
Crith-thalmhainn Haiti 2010	Terremoto di Haiti del 2010
Madison, Wisconsin	Madison (Wisconsin)
Imleag	Ombelico
Otto I, Impire Naomh Ròmanach	Ottone I di Sassonia
Eduard Buchner	Eduard Buchner
Pàpa Leo XIII	Papa Leone XIII
Seoc an Reubainnear	Jack lo squartatore
1740an	Anni 1740
Ketchikan, Alasca	Ketchikan
Wassily Leontief	Wassily Leontief
Dan Shechtman	Dan Shechtman
István Sándorfi	István Sándorfi
1500an	Anni 1500
Fireannach	Maschio (biologia)
William Golding	William Golding
Ùirsgeul	Leggenda
Tsar	Zar
Cayenne	Caienna
Selma Lagerlöf	Selma Lagerlöf
Anne Brontë	Anne Brontë
Bheactor	Vettore (matematica)
Teampall	Tempio
Foileag	Pancake
Duais Nobel ann an Ceimigeachd	Premio Nobel per la chimica
V. S. Naipaul	Vidiadhar Surajprasad Naipaul
Ernst Otto Fischer	Ernst Otto Fischer
Aoine	Digiuno
1820an	Anni 1820
Amazonas (Roinn)	Dipartimento di Amazonas
Suharto	Suharto
Viljandi	Viljandi
1770an	Anni 1770
Alex MacFhearghais	Alex Ferguson
Tulsa, Oklahoma	Tulsa
Chubut	Provincia di Chubut
Biorra-crùidein	Alcedinidae
Elba	Isola d'Elba
The Doors	The Doors
Coimbra	Coimbra
Beirm	Lievito
Ontonagon County, Michigan	Contea di Ontonagon
Silesia Seiceach	Slesia ceca
Boa	Boidae
Dennis Ritchie	Dennis Ritchie
Taghadh ceann-suidhe nan Stàitean Aonaichte, 2008	Elezioni presidenziali negli Stati Uniti d'America del 2008
Cairdeanal	Cardinale
Himnusz	Himnusz
Breichinn	Brechin
Mohammad Hussein Tantawi	Mohammed Hoseyn Tantawi
Strabo	Strabone
Czesław Miłosz	Czesław Miłosz
1680an	Anni 1680
1610an	Anni 1610
Clive Dunn	Clive Dunn
Maigheach	Lepus (genere)
Felix Mendelssohn Bartholdy	Felix Mendelssohn
Rhône (département)	Rodano (dipartimento)
Aardvark	Orycteropus afer
1510an	Anni 1510
Bogha is saighead	Arco (arma)
Crùban-coille	Testudinidae
Bjørnstjerne Bjørnson	Bjørnstjerne Bjørnson
CSS	CSS
Ivan Bunin	Ivan Alekseevič Bunin
Bhampair	Vampiro
Inndis Fìdi	Lingua hindi figiana
Octavio Paz	Octavio Paz
Riese Pio X	Riese Pio X
Alcalá de Henares	Alcalá de Henares
Posterstein	Posterstein
Oulu	Oulu
Clach chruth-atharrachail	Roccia metamorfica
Joseph Smith Jr	Joseph Smith
Peile	Secchio
Sealtainn	Isole Shetland
Encarnación	Encarnación
Atacama	Deserto di Atacama
Romain Rolland	Romain Rolland
Santa Mónica, Calafòrnia	Santa Monica (Stati Uniti d'America)
Duais Nobel ann an Eaconomachd	Premio Nobel per l'economia
Elfriede Jelinek	Elfriede Jelinek
Cnuimh	Verme
Palo Alto	Palo Alto
Marie Antoinette	Maria Antonietta d'Asburgo-Lorena
Clàrsach	Arpa
Milton Friedman	Milton Friedman
Green Bay, Wisconsin	Green Bay (Wisconsin)
Nota (airgead)	Banconota
André Gide	André Gide
Gàsa (baile)	Gaza
Allt	Ruscello
Los-leathann	Castor (zoologia)
Toruń	Toruń
Ivo Andrić	Ivo Andrić
Dùthaich nam Basgach (mòr-cheàrn)	Paese basco
Bolgan (innleachd)	Lampada a incandescenza
Nadine Gordimer	Nadine Gordimer
Iosua	Libro di Giosuè
Rudolf Christoph Eucken	Rudolf Christoph Eucken
Kalahari	Kalahari
The Godfather	Il padrino (film)
Imre Kertész	Imre Kertész
El Aaiún	El Aaiún
Armadillo	Dasypodidae
Green Day	Green Day
Robbie Williams	Robbie Williams
Sid Vicious	Sid Vicious
339	339
340	340
Nijmegen	Nimega
Mario Monti	Mario Monti
354	354
356	356
358	358
361	361
363	363
364	364
368	368
369	369
370	370
Unnsa	Oncia (unità di misura)
371	371
Teamplaid:Commonscat	Template:Commonscat
376	376
377	377
378	378
1780an	Anni 1780
383	383
384	384
388	388
389	389
390	390
391	391
392	392
1730an	Anni 1730
393	393
394	394
395	395
396	396
397	397
398	398
399	399
1540an	Anni 1540
Dover, Hampshire Nuadh	Dover (New Hampshire)
Nashua, Hampshire Nuadh	Nashua (New Hampshire)
Medellín	Medellín (Colombia)
Parabòla	Parabola (geometria)
Kobe	Kōbe
Mariehamn	Mariehamn
An Talamh Ùr	Terranova
Manchester, Hampshire Nuadh	Manchester (New Hampshire)
Daibhidh MacDhùnleibh	David Livingstone
Richard Gere	Richard Gere
Ainneamhag	Fenice
1750an	Anni 1750
1580an	Anni 1580
1590an	Anni 1590
Hermann Staudinger	Hermann Staudinger
Neuilly-sur-Seine	Neuilly-sur-Seine
Glenn Theodore Seaborg	Glenn Theodore Seaborg
Archer John Porter Martin	Archer John Porter Martin
Richard Laurence Millington Synge	Richard Laurence Millington Synge
Linus Carl Pauling	Linus Pauling
Sir Cyril Norman Hinshelwood	Cyril Norman Hinshelwood
Nikolay Nikolayevich Semyonov	Nikolaj Nikolaevič Semënov
Patrick Swayze	Patrick Swayze
San Luis Obispo, Calafòrnia	San Luis Obispo
San Luis Obispo County, Calafòrnia	Contea di San Luis Obispo
Oilthigh Cholumbia	Columbia University
Cambridge, Massachusetts	Cambridge (Massachusetts)
Oilthigh Yale	Università di Yale
Ivy League	Ivy League
Oilthigh Bhrown	Università Brown
Oilthigh Chornell	Cornell University
Colaiste Dartmouth	Dartmouth College
Oilthigh Phennsylvania	Università della Pennsylvania
Brookline, Massachusetts	Brookline (Massachusetts)
New Haven, Connecticut	New Haven
New London, Connecticut	New London (Connecticut)
New Bedford, Massachusetts	New Bedford (Massachusetts)
Springfield, Massachusetts	Springfield (Massachusetts)
Lowell, Massachusetts	Lowell (Massachusetts)
Stamford, Connecticut	Stamford (Connecticut)
279	279
New Britain, Connecticut	New Britain (Connecticut)
Bridgeport, Connecticut	Bridgeport
Waterbury, Connecticut	Waterbury (Connecticut)
Worcester, Massachusetts	Worcester (Massachusetts)
440	440
Northampton, Massachusetts	Northampton (Massachusetts)
517	517
572	572
Middletown, Connecticut	Middletown (Connecticut)
Warwick, Rhode Island	Warwick (Rhode Island)
Newton, Massachusetts	Newton (Massachusetts)
Cranston, Rhode Island	Cranston
Danbury, Connecticut	Danbury (Connecticut)
Pawtucket, Rhode Island	Pawtucket
Portland, Maine	Portland (Maine)
Rochester, Eabhraig Nuadh	Rochester (New York)
Irvine, Calafòrnia	Irvine (California)
Fremont, Calafòrnia	Fremont (California)
Scottsdale, Arizona	Scottsdale (Arizona)
Chesapeake, Virginia	Chesapeake (Virginia)
Norfolk, Virginia	Norfolk (Virginia)
Orlando, Florida	Orlando (Florida)
St. Petersburg, Florida	St. Petersburg (Florida)
Toledo, Ohio	Toledo (Ohio)
Stockton, Calafòrnia	Stockton (California)
Lexington, Kentucky	Lexington (Kentucky)
Riverside, Calafòrnia	Riverside (California)
Santa Ana, Calafòrnia	Santa Ana (Stati Uniti d'America)
Aurora, Colorado	Aurora (Colorado)
Anaheim, Calafòrnia	Anaheim
Tampa, Florida	Tampa
Bakersfield, Calafòrnia	Bakersfield
Colorado Springs, Colorado	Colorado Springs
Virginia Beach, Virginia	Virginia Beach
Mesa, Arizona	Mesa (Arizona)
Wichita, Kansas	Wichita
Chula Vista, Calafòrnia	Chula Vista
Chandler, Arizona	Chandler (Arizona)
Accomack County, Virginia	Contea di Accomack
Northampton County, Virginia	Contea di Northampton (Virginia)
Melvin Calvin	Melvin Calvin
Sir Robert Robinson	Robert Robinson (chimico)
Linn na Deighe	Era glaciale
Àrc	Sughero
Àrd-easbaig	Arcivescovo
Loch Nis	Loch Ness
Schaan	Schaan
Maurice Maeterlinck	Maurice Maeterlinck
Bàrd	Poeta
23mh Linn	XXIII secolo
Banais	Nozze
24mh Linn	XXIV secolo
30mh Linn	XXX secolo
Solomon Burke	Solomon Burke
Caochladair	Variabile (matematica)
Riaghailtean Astràilianach	Football australiano
Parral	Parral
Cali	Cali
Pereira (baile)	Pereira (Colombia)
Dàn Sholaimh	Cantico dei cantici
Malachi	Libro di Malachia
Pago Pago	Pago Pago
Glendale, Arizona	Glendale (Arizona)
Gilbert, Arizona	Gilbert (Arizona)
Tempe, Arizona	Tempe (Stati Uniti)
Peoria, Arizona	Peoria (Arizona)
Gravina in Puglia	Gravina in Puglia
Laphroaig	Laphroaig
Middelburg	Middelburg
Iron County, Wisconsin	Contea di Iron (Wisconsin)
Formentera	Formentera
Ibiza	Ibiza (isola)
Menorca	Minorca
Château-d'Œx	Château-d'Œx
Jogaila	Jogaila
Meall (cnoc)	Collina
Oilthigh Chologne	Università di Colonia
Methuen, Massachusetts	Methuen (Massachusetts)
Norwalk, Connecticut	Norwalk (Connecticut)
West Haven, Connecticut	West Haven (Connecticut)
Meriden, Connecticut	Meriden (Connecticut)
Providence County, Rhode Island	Contea di Providence
Kent County, Rhode Island	Contea di Kent (Rhode Island)
Washington County, Rhode Island	Contea di Washington (Rhode Island)
Newport County, Rhode Island	Contea di Newport
Bristol County, Rhode Island	Contea di Bristol (Rhode Island)
Newport, Rhode Island	Newport (Rhode Island)
East Providence, Rhode Island	East Providence (Rhode Island)
Central Falls, Rhode Island	Central Falls
Motala	Motala
Rockingham County, Hampshire Nuadh	Contea di Rockingham (New Hampshire)
Hillsborough County, Hampshire Nuadh	Contea di Hillsborough (New Hampshire)
Merrimack County, Hampshire Nuadh	Contea di Merrimack
Strafford County, Hampshire Nuadh	Contea di Strafford
Belknap County, Hampshire Nuadh	Contea di Belknap
Cheshire County, Hampshire Nuadh	Contea di Cheshire (New Hampshire)
Sullivan County, Hampshire Nuadh	Contea di Sullivan (New Hampshire)
Grafton County, Hampshire Nuadh	Contea di Grafton
Carroll County, Hampshire Nuadh	Contea di Carroll (New Hampshire)
Cuenca (provincia)	Provincia di Cuenca
Albacete (provincia)	Provincia di Albacete
Guadalajara (provincia)	Provincia di Guadalajara
Toledo (provincia)	Provincia di Toledo
Ciudad Real (provincia)	Provincia di Ciudad Real
Alacant (provincia)	Provincia di Alicante
Valencia (provincia)	Provincia di Valencia
Teruel (provincia)	Provincia di Teruel
Zaragoza (provincia)	Provincia di Saragozza
Huesca (provincia)	Provincia di Huesca
Laurence Olivier	Laurence Olivier
Palencia (provincia)	Provincia di Palencia
Burgos (provincia)	Provincia di Burgos
Soria (provincia)	Provincia di Soria
Segovia (provincia)	Provincia di Segovia
Ávila (provincia)	Provincia di Ávila
Contae Laoise	Laois
An Muileann gCearr	Mullingar
Roinn-seòrsa:Film	Categoria:Film
José María Aznar López	José María Aznar
Peter Ustinov	Peter Ustinov
All Blacks	Nazionale di rugby a 15 della Nuova Zelanda
Cabhlach na Gearmailte	Deutsche Marine
Katharine Hepburn	Katharine Hepburn
Grottammare	Grottammare
Lise Meitner	Lise Meitner
Sàmais	Lingue sami
Otto Hahn	Otto Hahn
Nelly Sachs	Nelly Sachs
Fritz Haber	Fritz Haber
Johann Friedrich Wilhelm Adolf von Baeyer	Adolf von Baeyer
Pàpa Hadrianus VI	Papa Adriano VI
Paul Ehrlich	Paul Ehrlich
Walther Hermann Nernst	Walther Nernst
Anna Cleves	Anna di Clèves
Otto Wallach	Otto Wallach
Georgi Parvanov	Georgi Părvanov
Traian Băsescu	Traian Băsescu
Jacob Zuma	Jacob Zuma
Ólafur Ragnar Grímsson	Ólafur Ragnar Grímsson
Toomas Hendrik Ilves	Toomas Hendrik Ilves
Ivan Gašparovič	Ivan Gašparovič
Juan Manuel Santos Calderón	Juan Manuel Santos
Václav Klaus	Václav Klaus
Hans-Adam II	Giovanni Adamo II del Liechtenstein
Mykola Azarov	Mykola Azarov
Margadh na Nollaige	Mercatino di Natale
Mark Rutte	Mark Rutte
Èideard I Shasainn	Edoardo I d'Inghilterra
Éanna Ó Coinnigh	Enda Kenny
Skedsmo	Skedsmo
Na Trì Nàiseanan	The Rugby Championship
Duran Duran	Duran Duran
Liam Neeson	Liam Neeson
Punjabi (cànan)	Lingua punjabi
Torc fiadhach	Sus scrofa
Bò Ghàidhealach	Highlander (razza bovina)
Cogadh a' Chaidreachais Thrìpilte	Guerra della triplice alleanza
Dà-theangachas	Diglossia
Artur Balder	Artur Balder
Robert Redford	Robert Redford
Northland Region	Northland
Breatainn Nuadh	Nuova Britannia
Wicca	Wicca
Albertus Magnus	Alberto Magno
Venkatraman Ramakrishnan	Venkatraman Ramakrishnan
Gerhard Ertl	Gerhard Ertl
1150an	Anni 1150
1030an	Anni 1030
1050an	Anni 1050
Peacadh	Peccato
Meppel	Meppel
Napa, Calafòrnia	Napa (California)
Martin Kaymer	Martin Kaymer
Earball	Coda (anatomia)
Crawford County, Arkansas	Contea di Crawford (Arkansas)
Fulton County, Arkansas	Contea di Fulton (Arkansas)
Boone County, Arkansas	Contea di Boone (Arkansas)
Dallas County, Arkansas	Contea di Dallas (Arkansas)
Jackson County, Arkansas	Contea di Jackson (Arkansas)
Greene County, Arkansas	Contea di Greene (Arkansas)
Benton County, Arkansas	Contea di Benton (Arkansas)
Bradley County, Arkansas	Contea di Bradley (Arkansas)
Ashley County, Arkansas	Contea di Ashley
Desha County, Arkansas	Contea di Desha
Cleveland County, Arkansas	Contea di Cleveland (Arkansas)
Howard County, Arkansas	Contea di Howard (Arkansas)
Cross County, Arkansas	Contea di Cross
Cleburne County, Arkansas	Contea di Cleburne (Arkansas)
Izard County, Arkansas	Contea di Izard
Johnson County, Arkansas	Contea di Johnson (Arkansas)
Garland County, Arkansas	Contea di Garland
Franklin County, Arkansas	Contea di Franklin (Arkansas)
Baxter County, Arkansas	Contea di Baxter
Union County, Arkansas	Contea di Union (Arkansas)
Perry County, Arkansas	Contea di Perry (Arkansas)
Scott County, Arkansas	Contea di Scott (Arkansas)
Ouachita County, Arkansas	Contea di Ouachita
Lonoke County, Arkansas	Contea di Lonoke
St. Francis County, Arkansas	Contea di St. Francis
Washington County, Arkansas	Contea di Washington (Arkansas)
Lee County, Arkansas	Contea di Lee (Arkansas)
Poinsett County, Arkansas	Contea di Poinsett
Mississippi County, Arkansas	Contea di Mississippi (Arkansas)
Pulaski County, Arkansas	Contea di Pulaski (Arkansas)
Stone County, Arkansas	Contea di Stone (Arkansas)
Lafayette County, Arkansas	Contea di Lafayette (Arkansas)
White County, Arkansas	Contea di White (Arkansas)
Marion County, Arkansas	Contea di Marion (Arkansas)
Sebastian County, Arkansas	Contea di Sebastian
Monroe County, Arkansas	Contea di Monroe (Arkansas)
Clark County, Arkansas	Contea di Clark (Arkansas)
Pike County, Arkansas	Contea di Pike (Arkansas)
Woodruff County, Arkansas	Contea di Woodruff
Carroll County, Arkansas	Contea di Carroll (Arkansas)
Jefferson County, Arkansas	Contea di Jefferson (Arkansas)
Grant County, Arkansas	Contea di Grant (Arkansas)
Pope County, Arkansas	Contea di Pope (Arkansas)
Yell County, Arkansas	Contea di Yell
Saline County, Arkansas	Contea di Saline (Arkansas)
Clay County, Arkansas	Contea di Clay (Arkansas)
Lawrence County, Arkansas	Contea di Lawrence (Arkansas)
Crittenden County, Arkansas	Contea di Crittenden (Arkansas)
Hot Spring County, Arkansas	Contea di Hot Spring
Independence County, Arkansas	Contea di Independence
Conway County, Arkansas	Contea di Conway
Craighead County, Arkansas	Contea di Craighead
Hempstead County, Arkansas	Contea di Hempstead
Columbia County, Arkansas	Contea di Columbia (Arkansas)
Logan County, Arkansas	Contea di Logan (Arkansas)
Randolph County, Arkansas	Contea di Randolph (Arkansas)
Polk County, Arkansas	Contea di Polk (Arkansas)
Newton County, Arkansas	Contea di Newton (Arkansas)
Searcy County, Arkansas	Contea di Searcy
Miller County, Arkansas	Contea di Miller (Arkansas)
Sevier County, Arkansas	Contea di Sevier (Arkansas)
Arkansas County, Arkansas	Contea di Arkansas
Jonesboro, Arkansas	Jonesboro (Arkansas)
Chicot County, Arkansas	Contea di Chicot
Calhoun County, Arkansas	Contea di Calhoun (Arkansas)
Faulkner County, Arkansas	Contea di Faulkner
Phillips County, Arkansas	Contea di Phillips (Arkansas)
Prairie County, Arkansas	Contea di Prairie (Arkansas)
Sharp County, Arkansas	Contea di Sharp
Madison County, Arkansas	Contea di Madison (Arkansas)
Nevada County, Arkansas	Contea di Nevada (Arkansas)
Van Buren County, Arkansas	Contea di Van Buren (Arkansas)
Montgomery County, Arkansas	Contea di Montgomery (Arkansas)
Little River County, Arkansas	Contea di Little River
Mion-chànanan	Lingua minoritaria
Starnberg	Starnberg
Barranquilla	Barranquilla
Jeroen Krabbé	Jeroen Krabbé
Mason County, Michigan	Contea di Mason (Michigan)
Muskegon County, Michigan	Contea di Muskegon
Jan von Werth	Johann von Werth
Delémont	Delémont
Glarus	Glarona
Vernier	Vernier
Stans	Stans
Oceana County, Michigan	Contea di Oceana
Osceola County, Michigan	Contea di Osceola (Michigan)
Sarnen	Sarnen
Herisau	Herisau
Uster	Uster
Bellinzona	Bellinzona
Köniz	Köniz
Aarberg	Aarberg
Teòirim	Teorema
Bloigh (matamataig)	Frazione (matematica)
Niccolò Paganini	Niccolò Paganini
Abhlan coisrigte	Eucaristia
Clayton, Alabama	Clayton (Alabama)
Chatom, Alabama	Chatom
Grove Hill, Alabama	Grove Hill
Rockford, Alabama	Rockford (Alabama)
Hayneville, Alabama	Hayneville
Tavau	Davos
Frauenfeld	Frauenfeld
La Chaux-de-Fonds	La Chaux-de-Fonds
Sion	Sion (Svizzera)
Zug	Zugo
Altdorf	Altdorf (Uri)
Schwyz	Svitto
Vevey	Vevey
Double Springs, Alabama	Double Springs
Otto Sander	Otto Sander
Hawaii (eilean)	Isola di Hawaii
Einsiedeln	Einsiedeln
Solothurn	Soletta
Liestal	Liestal
Thun	Thun
Ciura	Coira
Genolier	Genolier
Neuchâtel	Neuchâtel
Tolochenaz	Tolochenaz
Mammern	Mammern
Muralto	Muralto
Gnìomhair neo-riaghailteach	Verbo irregolare
Hermann Emil Fischer	Hermann Emil Fischer
Robert Bunsen	Robert Wilhelm Bunsen
Salamanca (provincia)	Provincia di Salamanca
Valladolid (provincia)	Provincia di Valladolid
Clark Gable	Clark Gable
Dromadair	Camelus dromedarius
Hollywood Walk of Fame	Hollywood Walk of Fame
An Oriant	Lorient
1370an	Anni 1370
