Afrịka	Africa
South Amerika	America Meridionale
Spain	Spagna
Njikota Obodo Amerika	Stati Uniti d'America
Àlà	Terra
Mádu	Homo sapiens
Finland	Finlandia
Poland	Polonia
Turkéy	Turchia
Obodo Békè	Europa
Asia	Asia
Olile anyanwu Amerika	America del Nord
Antarctica	Antartide
Wikipedia	Wikipedia
New York City	New York
Orunotu	Computer
Intanet	Internet
Barack Obama	Barack Obama
MediaWiki	MediaWiki
London	Londra
Òrìmìlì Atlantic	Oceano Atlantico
Òrìmìlì Pacific	Oceano Pacifico
California	California
Önwa mbu	Gennaio
February	Febbraio
March	Marzo
Ethiopia	Etiopia
Ghana	Ghana
Önwa ànó	Aprile
May	Maggio
Önwa ishií	Giugno
July	Luglio
August	Agosto
September	Settembre
October	Ottobre
Önwa iri na otụ	Novembre
Disemba	Dicembre
Odúm	Panthera leo
Obodoézè Nà Ofú	Regno Unito
Wiktionary	Wikizionario
Brazil	Brasile
Mpaghara Russia	Russia
Wiki	Wiki
Alabama	Alabama
Jimmy Wales	Jimmy Wales
Jémanị	Germania
Larry Sanger	Larry Sanger
Otu	1 (numero)
Abụo	2 (numero)
Atọ	3 (numero)
Anọ	4 (numero)
Ise	5 (numero)
0 (Ónúọgụgụ)	0 (numero)
Yukrain	Ucraina
Barbados	Barbados
Algeria	Algeria
Wikisource	Wikisource
Ńkú	Legno
Jisọs Kraịst	Gesù
Ákíkó mbu	Storia
Ihunanya	Amore
Wikipedia nke ndị bekee	Wikipedia in inglese
Amamihe	Scienza
Wikibooks	Wikibooks
Wikiquote	Wikiquote
Ubuntu	Ubuntu
Ọmúmú-ónúọgụgụ	Matematica
Ostraliya	Australia
Bob Marley	Bob Marley
Physics	Fisica
Áláküba	Islam
Lech Wałęsa	Lech Wałęsa
Ábu	Poesia
Ìfulū	Fiore
Ama ukwu	Città
Ogbè	Villaggio
Wikimedia Commons	Wikimedia Commons
Chad	Ciad
Ndia	India
Mën	Maine
Ǹkà	Arte
Osisi	Plantæ
Hampshire Ohúrú	New Hampshire
Jamaikạ	Giamaica
Másáchusẹts	Massachusetts
Kónétíkùt	Connecticut
Hawaii	Hawaii
Dominika	Dominica
Arctic Ocean	Mar Glaciale Artico
Àláskà	Alaska
Israel	Israele
Flórídạ	Florida
Arizona	Arizona
Oregon	Oregon
Amerikas	America
Yútạh	Utah
Charlie Chaplin	Charlie Chaplin
Angola	Angola
Albert Einstein	Albert Einstein
Togo	Togo
Benin	Benin
Botswana	Botswana
Burkina Faso	Burkina Faso
Burundi	Burundi
Eritrea	Eritrea
Pope John Paul II	Papa Giovanni Paolo II
Gabon	Gabon
Kameroon	Camerun
Cape Verde	Capo Verde
Niger	Niger
Naigeria	Nigeria
Julius Caesar	Gaio Giulio Cesare
Sudan	Sudan
Ọmúmú-àlà	Geografia
Àgwà	Colore
Michigan	Michigan
Ilinoi	Illinois
North Dakota	Dakota del Nord
Sawt Dakótạ	Dakota del Sud
Montana	Montana
Waịómịn	Wyoming
Jerusalem	Gerusalemme
Idaho	Idaho
Washington (nkeji obodo)	Washington (stato)
Náevadạ	Nevada
Òrìmìlì India	Oceano Indiano
Colorado	Colorado
Òtù:Ébé ihe nọr	Categoria:Categorie
Chicago	Chicago
Végíníyà	Virginia
West Virginia	Virginia Occidentale
Nú Yọk	New York (Stato)
Àlá mmírí Rhode	Rhode Island
Mérílạnd	Maryland
Déláwè	Delaware
Ohaïyo	Ohio
Pensílvéníyạ	Pennsylvania
Uetersen	Uetersen
Nú Jezị	New Jersey
Ndiánà	Indiana
Jorjiạ	Georgia (Stati Uniti d'America)
Texas	Texas
Nort Kárólínạ	Carolina del Nord
Nleda anyanwu Kàròlina	Carolina del Sud
Mississippi	Mississippi
Tennessee	Tennessee
Nú Mézíkọ	Nuovo Messico
Minésótạ	Minnesota
Coordinated Universal Time	Tempo coordinato universale
Wiskonsin	Wisconsin
Áyowạ	Iowa
Nebraska	Nebraska
Kánzạs	Kansas
Mizurị	Missouri
Luwisiánà	Louisiana
Kentórkị	Kentucky
Arkinsọ	Arkansas
Oklahoma	Oklahoma
Akwụkwọ Nsọ	Bibbia
Ho Chi Minh City	Ho Chi Minh (città)
Ezigbo ulo uka Jesu	Vera Chiesa di Gesù
Asụsụ Inglish	Lingua inglese
Đồng Hới	Dong Hoi
Końskowola	Końskowola
2000	2000
2003	2003
2001	2001
2005	2005
2007	2007
1909	1909
1991	1991
1993	1993
1996	1996
1998	1998
1999	1999
Önwa mbu 1	1º gennaio
Önwa mbu 2	2 gennaio
Önwa mbu 3	3 gennaio
Önwa mbu 4	4 gennaio
Önwa mbu 5	5 gennaio
Önwa mbu 6	6 gennaio
Önwa mbu 7	7 gennaio
Önwa mbu 8	8 gennaio
Önwa mbu 9	9 gennaio
10 Jenụwarị	10 gennaio
11 Jenụwarị	11 gennaio
Önwa mbu 12	12 gennaio
Önwa mbu 13	13 gennaio
Önwa mbu 14	14 gennaio
Önwa mbu 15	15 gennaio
Önwa mbu 16	16 gennaio
Önwa mbu 17	17 gennaio
Önwa mbu 18	18 gennaio
Önwa mbu 19	19 gennaio
Önwa mbu 20	20 gennaio
Önwa mbu 21	21 gennaio
Önwa mbu 22	22 gennaio
Önwa mbu 23	23 gennaio
Önwa mbu 24	24 gennaio
